Similar to EAST CHINA NORMAL UNIVERSITY (N=9989)
 344. COLORADO STATE UNIVERSITY FORT COLLINS | sim=0.8348
 345. AUTONOMOUS UNIVERSITY OF MADRID | sim=0.8347
 346. UNIVERSITY OF TEXAS SYSTEM | sim=0.8347
 347. NORTHEASTERN UNIVERSITY - CHINA | sim=0.8347
 348. CHINESE ACADEMY OF SCIENCES | sim=0.8346
 349. UNIVERSITY OF BIRMINGHAM | sim=0.8343
 350. UNIVERSITI TEKNOLOGI MALAYSIA | sim=0.8339
 351. TEL AVIV UNIVERSITY | sim=0.8335
 352. UNIVERSIDAD DE CHILE | sim=0.8332
 353. UNIVERSITY COLLEGE LONDON | sim=0.8331
 354. UNIVERSITY OF LIVERPOOL | sim=0.8328
 355. UNIVERSITY OF OXFORD | sim=0.8328
 356. UNIVERSITY OF NEWCASTLE | sim=0.8327
 357. MIDDLE EAST TECHNICAL UNIVERSITY | sim=0.8321
 358. UNIVERSITY OF ST ANDREWS | sim=0.8318
 359. DUKE UNIVERSITY | sim=0.8317
 360. NAGOYA UNIVERSITY | sim=0.8317
 361. LEIBNIZ ASSOCIATION | sim=0.8314
 362. DALHOUSIE UNIVERSITY | sim=0.8313
 363. UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO | sim=0.8310
 364. UNIVERSITE CLAUDE BERNARD LYON 1 | sim=0.8310
 365. COLUMBIA UNIVERSITY | sim=0.8309
 366. CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS) | sim=0.8308
 367. OAK RIDGE NATIONAL LABORATORY | sim=0.8298
 368. UNIVERSITY OF LONDON | sim=0.8295
 369. CHARLES UNIVERSITY PRAGUE | sim=0.8293
 370. UNIVERSITY OF TWENTE | sim=0.8291
 371. KUNMING UNIVERSITY OF SCIENCE & TECHNOLOGY | sim=0.8289
 372. UNIVERSITY OF BATH | sim=0.8288
 373. CAIRO UNIVERSITY | sim=0.8286
 374. NORTHEAST NORMAL UNIVERSITY - CHINA | sim=0.8286
